DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DEN,STP1_COUNT,STP1_OBSERVER,STP1_TOOL,STP1_DEAD,STP1_S,STP1_D,STP1_P,TREAT_STP1_P,STP1_DEN,STP2_OBSERVER,TOOL,STP2_DEAD,STP2_S,STP2_D,SET_STP2_D,STP2_P,STP2_DEN,SET_STP2_P,TREAT_STP2_P
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,63,1,3,12,19,10,Acropora,Acropora_digitifera,ABSENT,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,6,4,0.6,0.087,29-Apr-17,Sun,Dinoscope,no,6,0,1,0.6,0.087,Kelly,Disecting,no,1,5,5,0.17,0.01,0.17,0.1
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,64,1,4,12,20,200,Acropora,Acropora_digitifera,ABSENT,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,45,155,0.225,0.655,29-Apr-17,Sun,Dinoscope,no,43,2,0.96,0.215,0.626,Kelly,Disecting,no,3,40,42,0.07,0.04,0.07,0.015
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,66,2,2,13,18,200,Acropora,Acropora_digitifera,ABSENT,A1,T2,22-Apr-17,22-Apr-17,John,Disecting,no,10,190,0.05,0.146,29-Apr-17,Sun,Dinoscope,no,3,7,0.3,0.015,0.044,Kelly,Disecting,no,2,1,8,0.67,0.03,0.2,0.01
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,67,2,3,13,19,50,Acropora,Acropora_digitifera,ABSENT,A1,T2,22-Apr-17,22-Apr-17,John,Disecting,no,39,11,0.78,0.568,29-Apr-17,Sun,Dinoscope,no,27,12,0.69,0.54,0.393,Kelly,Disecting,no,0,27,39,0,0,0,0
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,68,2,4,13,20,100,Acropora,Acropora_digitifera,ABSENT,A1,T2,22-Apr-17,22-Apr-17,John,Disecting,no,30,70,0.3,0.437,29-Apr-17,Sun,Dinoscope,no,29,1,0.97,0.29,0.422,Kelly,Disecting,no,7,22,23,0.24,0.1,0.23,0.07
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,69,3,1,14,17,100,Acropora,Acropora_digitifera,ABSENT,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,29,71,0.29,0.422,29-Apr-17,Sun,Dinoscope,no,26,3,0.9,0.26,0.379,Kelly,Disecting,no,4,22,25,0.15,0.06,0.14,0.04
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,70,3,2,14,18,10,Acropora,Acropora_digitifera,ABSENT,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,8,2,0.8,0.117,29-Apr-17,Sun,Dinoscope,no,5,3,0.63,0.5,0.073,Kelly,Disecting,no,3,2,5,0.6,0.04,0.38,0.3
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,71,3,3,14,19,200,Acropora,Acropora_digitifera,ABSENT,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,79,121,0.395,1.151,29-Apr-17,Sun,Dinoscope,no,68,11,0.86,0.34,0.99,Kelly,Disecting,no,9,59,70,0.13,0.13,0.11,0.045
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,72,3,4,14,20,50,Acropora,Acropora_digitifera,ABSENT,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,41,9,0.82,0.597,29-Apr-17,Sun,Dinoscope,no,33,8,0.8,0.66,0.481,Kelly,Disecting,no,11,22,30,0.33,0.16,0.27,0.22
13-Apr-17,18-Apr-17,5-7pm,TANK2,8,85,1,1,15,21,200,Anacropora,Anacropora_spinosa,PRESENT,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,104,96,0.52,1.515,01-May-17,Carrie,Disecting,no,78,26,0.75,0.39,1.136,Carrie,Disecting,no,72,6,32,0.92,1.05,0.69,0.36
